Média (pesos);RC;Área Aberta;Vegetação Secundária;BR 163;Proximidade a área urbana;Estradas vicinais;Tamanho dos imóveis;Imóveis certificados;Declividade;Rios ;Assentamento;Embargo;Floresta;Unidade de Conservação;Terra Indígena;;;
169;0,099576342;0,198773378;0,152290628;0,138013448;0,102482922;0,084982597;0,077785033;0,065357698;0,043448098;0,045676464;0,030952498;0,025370013;0,014681856;0,011257848;0,00892752;;;
18;0,099571819;0,202783019;0,145432715;0,14808873;0,096969955;0,086899646;0,071901332;0,066886512;0,044143873;0,045194656;0,031614146;0,025127424;0,015049126;0,011174027;0,008734839;;;
991;0,099567955;0,20079809;0,144994428;0,142423954;0,102676843;0,08880363;0,072238048;0,066243021;0,045058643;0,044836134;0,032103302;0,024948029;0,015292376;0,010720527;0,008862975;;;
616;0,099551107;0,207487595;0,143364396;0,143007101;0,098515187;0,086537648;0,074141073;0,067899883;0,043904946;0,044354741;0,031165228;0,025003517;0,014813231;0,011085605;0,008719851;;;
199;0,099544748;0,197566014;0,148032775;0,146387093;0,096506995;0,084551062;0,076939062;0,06763157;0,047332925;0,043985375;0,032049281;0,024264429;0,014876227;0,011104819;0,008772375;;;
65;0,099454226;0,19861947;0,150150044;0,145488261;0,093937924;0,08713571;0,081721704;0,062381173;0,045264409;0,043889906;0,03220802;0,024823701;0,01464761;0,010887106;0,008844962;;;
133;0,099430931;0,198630454;0,149089234;0,147766282;0,096738267;0,08215911;0,075505989;0,069268806;0,047241521;0,042782326;0,031107984;0,024482909;0,015338603;0,010905774;0,008982741;;;
539;0,099429432;0,201397022;0,149018619;0,146789035;0,091991645;0,092121215;0,068958488;0,066326569;0,046025615;0,044640066;0,032000299;0,025726427;0,015236674;0,010975381;0,008792944;;;
641;0,099418849;0,200285176;0,149509317;0,144145948;0,094137279;0,08263748;0,079899696;0,066713723;0,045437466;0,045007455;0,031571516;0,025008429;0,015194573;0,011428741;0,009023201;;;
412;0,099379237;0,193548919;0,153146676;0,14435056;0,103549044;0,083771243;0,075741107;0,065390391;0,04349525;0,044235161;0,032223005;0,025296953;0,015527862;0,010828612;0,008895216;;;
